,link_to_course,skills
220,https://ru.coursera.org/specializations/digital-transformation-financial-services,"['digital strategy', 'open banking', 'innovation', 'financial technology', 'financial services', 'business ecosystem', 'crowdfunding', 'peer-to-peer lending']"
221,https://ru.coursera.org/learn/uva-darden-design-thinking-innovation,"['strategic thinking', 'design thinking', 'innovation management', 'design management', 'innovation']"
222,https://ru.coursera.org/learn/excel-analysis,"['data analysis', 'microsoft excel', 'pivot table', 'data cleansing']"
223,https://ru.coursera.org/learn/advanced-excel,"['dashboard (business)', 'microsoft excel', 'data virtualization', 'data visualization (dataviz)']"
224,https://ru.coursera.org/learn/excel-vba-for-creative-problem-solving-part-1,"['microsoft excel vba', 'computer programming', 'problem solving', 'debugging']"
225,https://ru.coursera.org/specializations/excel,"['data validation', 'microsoft excel', 'microsoft excel macro', 'pivot table', 'graphs', 'spreadsheet', 'chart', 'concatenation', 'consolization', 'pivot chart', 'lookup table', 'microsoft excel vba']"
226,https://ru.coursera.org/specializations/python,"['json', 'xml', 'python programming', 'database (dbms)', 'python syntax and semantics', 'basic programming language', 'computer programming', 'data structure', 'tuple', 'web scraping', 'sqlite', 'sql']"
227,https://ru.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,"['data science', 'deep learning', 'artificial intelligence (ai)', 'jobs', 'machine learning', 'application programming interfaces (api)', 'watson', 'python programming', 'data analysis', 'pandas', 'numpy', 'application development']"
228,https://ru.coursera.org/specializations/applied-data-science,"['data science', 'python programming', 'data analysis', 'pandas', 'numpy', 'ipython', 'predictive modelling', 'data visualization (dataviz)', 'model selection', 'data virtualization', 'matplotlib']"
229,https://ru.coursera.org/specializations/deep-learning,"['artificial neural network', 'convolutional neural network', 'tensorflow', 'recurrent neural network', 'transformers', 'deep learning', 'backpropagation', 'python programming', 'neural network architecture', 'mathematical optimization', 'hyperparameter tuning', 'inductive transfer']"
230,https://ru.coursera.org/projects/configurer-securiser-deployer-nextcloud-avec-docker,"['docker', 'nextcloud', 'database (dbms)', 'docker-compose', 'linux bash']"
231,https://ru.coursera.org/projects/crime-zone-heatmaps-python-folium,"['data science', 'python programming', 'pandas', 'data visualization (dataviz)', 'folium']"
232,https://ru.coursera.org/projects/leverage-icebreaker-tools-run-inclusive-meetings-miro,"['onboarding team members', 'team building', 'running remote meetings', 'running inclusive meetings', 'project management']"
233,https://ru.coursera.org/projects/draw-wireframe-miro,"['improving user acceptance (ua)', 'product development', 'user experience design (uxd)', 'user interface (ui) design', 'user centered design (ucd)']"
234,https://ru.coursera.org/projects/create-landscapes-unity-foliage-rocks-lake,"['video-game development', 'c sharp (c#) programming language', 'unity 3d', 'unity', 'application development']"
235,https://ru.coursera.org/learn/neural-networks-deep-learning,"['deep learning', 'artificial neural network', 'backpropagation', 'python programming', 'neural network architecture']"
236,https://ru.coursera.org/learn/python,"['python syntax and semantics', 'basic programming language', 'computer programming', 'python programming']"
237,https://ru.coursera.org/learn/algorithms-part2,"['graphs', 'data structure', 'algorithms', 'data compression']"
238,https://ru.coursera.org/learn/nand2tetris2,"['computer architecture', 'compiler construction', 'compiler', 'operating system']"
239,https://ru.coursera.org/learn/programming-languages-part-c,"['ruby (programming language)', 'programming language', 'object-oriented programming (oop)', 'subtyping']"
240,https://ru.coursera.org/learn/programming-languages-part-b,"['racket (programming language)', 'programming language concepts', 'type system', 'functional programming']"
241,https://ru.coursera.org/learn/python-programming-introduction,"['python syntax and semantics', 'python libraries', 'computer programming', 'python programming']"
242,https://ru.coursera.org/specializations/python-3-programming,"['json', 'computer programming', 'python programming', 'sorting']"
243,https://ru.coursera.org/learn/interactive-python-1,"['programming principles', 'python syntax and semantics', 'computer programming', 'python programming']"
244,https://ru.coursera.org/specializations/introduction-scripting-in-python,"['codeskulptor', 'data analysis', 'python programming', 'data visualization (dataviz)', 'python syntax and semantics', 'debugging', 'tuple', 'list & label']"
245,https://ru.coursera.org/learn/angular,"['node.js', 'angularjs', 'reactive programming', 'typescript']"
246,https://ru.coursera.org/learn/html,"['web design', 'web accessibility', 'html', 'html5']"
247,https://ru.coursera.org/learn/server-side-nodejs,"['authentication', 'node.js', 'mongodb', 'express.js']"
248,https://ru.coursera.org/specializations/full-stack-mobile-app-development,"['bootstrap (front-end framework)', 'node.js', 'jquery', 'sass (stylesheet language)', 'angularjs', 'reactive programming', 'typescript', 'authentication', 'mongodb', 'express.js']"
249,https://ru.coursera.org/learn/progfun1,"['scala programming', 'recursion', 'functional programming', 'immutable data types', 'higher-order function']"
250,https://ru.coursera.org/learn/object-oriented-design,"['object-oriented design', 'object-oriented analysis and design', 'unified modeling language (uml)']"
251,https://ru.coursera.org/learn/parallel-programming-in-java,"['dataflow', 'parallel computing', 'java concurrency', 'data parallelism']"
252,https://ru.coursera.org/specializations/programming-unity-game-development,"['video game development', 'c sharp (c#) (programming language)', 'unity (user interface)', 'game programming']"
253,https://ru.coursera.org/specializations/game-development,"['video game development', 'unity', 'video game', 'game design', 'technology', 'game making']"
254,https://ru.coursera.org/specializations/virtual-reality,"['interaction design', '3d computer graphics', 'virtual world', 'virtual reality']"
