url_for_user,blocks,skills
https://netology.ru/programs/infografica,"['1. Введение в инфографику и визуализацию данных', '2. Инструменты', '3. Дизайн в инфографике', '4. Инфографика. Продвинутый уровень', '5. Дипломный блок']","['Создание статичного инфографического макета', 'Умение визуализировать данные', 'Владение визуальным сторителлингом', 'Создание моушн-проекта', 'Создание интерактивной инфографики и карт', 'Работа в программах Excel, GoogleDoc, OpenRefine', 'Создание мультимедийных лонгридов', 'Владение Tableаu']"
https://netology.ru/programs/data-storytelling,"['Полезная информация', 'Расписание курса']",[]
https://netology.ru/programs/mathematics-for-data-science,['Математика для Data Science'],[]
https://netology.ru/programs/game_management,"['Организационный блок', 'Основной блок']",[]
https://netology.ru/programs/mba-strategy,[],[]
https://netology.ru/programs/roma,"['Вводный блок', 'Построение сквозной аналитики', 'Дипломный блок']",[]
https://netology.ru/programs/filmmaker,['Вводный блок'],[]
https://netology.ru/programs/seo-specialist-pro,[],[]
https://netology.ru/programs/ux-design-agima,[],[]
https://netology.ru/programs/design-digital,"['Подготовительный блок', 'Adobe Photoshop', 'Adobe Illustrator', 'Отзыв о курсе Цифровой дизайн', '1. Основы графического дизайна', '2. Коллажирование и творческая обработка', '3. Базовые принципы создания макета сайта', '4. Основы дизайна с After Effects', '5. Визуальная информация в технике скрайбинг', '5. Дипломный блок']",[]
https://netology.ru/programs/machine-learn,"['ПОДАРОЧНЫЕ ЗАПИСИ', 'Работа с заказчиком', 'Подготовка к дипломной работе', 'Вводное занятие', 'Построение модели', 'Временные ряды', 'Рекомендательные системы', 'Компьютерное зрение', 'Обработка естественного языка']",[]
https://netology.ru/programs/big-data,"['Вводная информация', 'Что такое большие данные', 'Методы анализа больших данных', 'Основы систем больших данных', 'Сдача итогового проекта']",[]
https://netology.ru/programs/delovye-peregovory,"['Вводный', 'Основной', 'Итоговый', 'Создание новых договоренностей', 'Развитие текущих договоренностей']",[]
https://netology.ru/programs/typography,"['Подготовительный блок', '1. Введение в историю', '2. Шрифт и типографика', '3. Основы стиля в типографике', '4. Типографические модульные сетки', '5. Типографика в рекламе', 'Дипломный блок']","['Оценка качества шрифта и правила построения', 'Формирование стиля в типографике', 'Построение типографической модульной сетки', 'Взаимодействие визуального образа и типографики', 'Акценты и второстепенные элементы', 'Построение типографики в рекламе']"
https://netology.ru/programs/linkbuilding,"['Перед стартом курса', ' 1. Стратегии линкбилдинга', ' 2. Источники ссылок', ' 3. Работа с командой', 'Работа над дипломным проектом', 'Профориентация']",[]
https://netology.ru/programs/gtm,"['Вводный блок', 'Создание и установка GTM', 'Работа с простыми тегами', 'Специальные возможности GTM', 'Настройка целей и событий Google Analytics через GTM', 'Настройка специальных тегов', 'Подведение итогов']",[]
https://netology.ru/programs/dizajner-mobilnyh-prilozhenij,[],[]
https://netology.ru/programs/mba-negotiation,['Переговоры и коммуникация'],[]
https://netology.ru/programs/kontent-marketing,[],[]
https://netology.ru/programs/mba,['MBA'],[]
